"timeMillisSpent","scoreCalculationSpeed"
1029,32514
2018,19801
3001,14942
4047,12481
5064,10430
6089,7960
7030,7804
8000,7571
9134,6476
10000,5653
11056,5409
12077,5594
13001,5298
14172,4877
15098,4406
16057,4254
17026,4210
18143,4383
19103,4250
20098,4100
21177,3781
22136,3403
23116,3330
24128,3225
25150,3193
26152,3257
27144,3290
28158,3218
29204,3120
30092,2756
31157,2298
32242,2256
33334,2241
34059,2251
35165,2213
36290,2176
37018,2241
38117,2227
39235,2189
40406,2090
41175,2122
42341,2099
43113,2113
44396,1908
45246,1920
46135,1835
47023,1837
48345,1851
49224,1856
50109,1844
51034,1764
52390,1805
53256,1884
54157,1811
55037,1854
56364,1844
57266,1809
58172,1801
59137,1691
