"timeMillisSpent","scoreCalculationSpeed"
1029,32514
2021,19741
3011,14836
4059,12458
5091,10279
6021,7896
7064,7823
8060,7373
9110,6217
10115,5683
11003,5513
12020,5616
13088,5348
14070,4985
15167,4463
16108,4335
17142,3945
18079,4354
19040,4245
20024,4146
21085,3845
22047,3392
23049,3257
24087,3144
25143,3090
26135,3290
27119,3317
28132,3222
29159,3178
30296,2870
31019,2257
32134,2195
33249,2195
34391,2143
35215,1980
36376,2108
37112,2217
38205,2239
39310,2215
40072,2141
41222,2128
42369,2134
43146,2100
44408,1939
45273,1886
46142,1878
47050,1797
48410,1800
49328,1777
50247,1775
51190,1730
52095,1803
53003,1797
54345,1824
55249,1805
56160,1791
57096,1743
58091,1640
59016,1764
