"timeMillisSpent","scoreCalculationSpeed"
1016,32930
2041,19902
3046,14614
4030,12439
5056,10339
6076,8000
7018,7796
8088,7626
9109,6393
10096,5787
11121,5572
12146,5572
13074,5275
14077,4881
15005,4396
16158,4246
17157,4084
18106,4299
19135,3965
20125,4121
21211,3756
22180,3368
23189,3234
24197,3238
25233,3150
26017,3122
27058,3135
28086,3175
29134,3114
30312,2770
31049,2214
32123,2279
33206,2260
34333,2172
35089,2158
36233,2139
37304,2285
38025,2263
39131,2213
40252,2183
41045,2058
42222,2079
43380,2113
44251,1873
45184,1749
46165,1663
47130,1691
48067,1741
49414,1817
50336,1770
51275,1738
52157,1850
53023,1884
54345,1851
55234,1835
56169,1745
57128,1701
58111,1660
59074,1694
