"timeMillisSpent","score","initialized"
77735,"-451hard/52861soft","true"
78041,"-450hard/53041soft","true"
78187,"-449hard/52851soft","true"
78194,"-448hard/52661soft","true"
78210,"-448hard/52730soft","true"
78240,"-447hard/52655soft","true"
78310,"-445hard/52655soft","true"
78381,"-445hard/52755soft","true"
78444,"-444hard/52745soft","true"
78572,"-439hard/52745soft","true"
78967,"-438hard/52835soft","true"
79129,"-436hard/52766soft","true"
79234,"-435hard/52766soft","true"
79532,"-434hard/52766soft","true"
79554,"-433hard/52576soft","true"
79604,"-433hard/52586soft","true"
79724,"-433hard/52587soft","true"
79756,"-433hard/52687soft","true"
79805,"-431hard/52607soft","true"
79821,"-429hard/52456soft","true"
79951,"-428hard/52456soft","true"
79977,"-427hard/52426soft","true"
80013,"-426hard/52426soft","true"
80102,"-425hard/52014soft","true"
80329,"-424hard/52014soft","true"
80360,"-424hard/52024soft","true"
80508,"-423hard/51908soft","true"
80591,"-422hard/51918soft","true"
80645,"-421hard/51818soft","true"
80656,"-421hard/51938soft","true"
80668,"-419hard/52020soft","true"
80748,"-418hard/51840soft","true"
80801,"-417hard/51791soft","true"
80804,"-417hard/51805soft","true"
81111,"-416hard/51805soft","true"
81170,"-414hard/51637soft","true"
81173,"-413hard/51447soft","true"
81180,"-412hard/51321soft","true"
81279,"-411hard/51141soft","true"
81358,"-411hard/51151soft","true"
81375,"-410hard/50997soft","true"
81390,"-408hard/50821soft","true"
81515,"-407hard/50641soft","true"
81678,"-405hard/50451soft","true"
81794,"-405hard/50631soft","true"
81940,"-404hard/50441soft","true"
81963,"-404hard/50504soft","true"
82041,"-403hard/50514soft","true"
82104,"-399hard/50514soft","true"
82411,"-396hard/50477soft","true"
82432,"-394hard/50183soft","true"
82495,"-394hard/50273soft","true"
82502,"-393hard/50234soft","true"
82505,"-393hard/50276soft","true"
82545,"-392hard/50086soft","true"
82636,"-391hard/50499soft","true"
82878,"-390hard/50428soft","true"
83019,"-389hard/50438soft","true"
83076,"-388hard/50348soft","true"
83097,"-388hard/50464soft","true"
83257,"-387hard/50408soft","true"
83260,"-386hard/50236soft","true"
83273,"-385hard/50214soft","true"
83294,"-384hard/50204soft","true"
83362,"-384hard/50304soft","true"
83411,"-383hard/49968soft","true"
83416,"-382hard/49960soft","true"
83534,"-382hard/50168soft","true"
83590,"-382hard/50178soft","true"
83660,"-382hard/50188soft","true"
83872,"-382hard/50278soft","true"
84217,"-381hard/50098soft","true"
84398,"-381hard/50188soft","true"
84801,"-381hard/50226soft","true"
85544,"-380hard/50066soft","true"
85557,"-374hard/50066soft","true"
85601,"-374hard/50146soft","true"
85660,"-371hard/50206soft","true"
85685,"-370hard/50016soft","true"
85730,"-370hard/50161soft","true"
86065,"-369hard/50151soft","true"
86165,"-368hard/49971soft","true"
86216,"-367hard/49803soft","true"
86266,"-367hard/49805soft","true"
86357,"-366hard/49689soft","true"
86367,"-365hard/49609soft","true"
87174,"-364hard/49609soft","true"
87498,"-363hard/49419soft","true"
87589,"-363hard/49519soft","true"
87687,"-362hard/49481soft","true"
87820,"-361hard/49448soft","true"
87919,"-361hard/49458soft","true"
87986,"-360hard/49268soft","true"
88230,"-359hard/49239soft","true"
88452,"-359hard/49338soft","true"
88488,"-358hard/49338soft","true"
88530,"-357hard/49148soft","true"
88677,"-357hard/49228soft","true"
88899,"-356hard/49228soft","true"
88929,"-356hard/49230soft","true"
88936,"-355hard/49187soft","true"
88969,"-354hard/49248soft","true"
89223,"-353hard/49248soft","true"
89307,"-352hard/49068soft","true"
89690,"-351hard/48888soft","true"
89835,"-350hard/48841soft","true"
90019,"-350hard/48918soft","true"
90122,"-350hard/49098soft","true"
90621,"-349hard/49098soft","true"
90792,"-349hard/49106soft","true"
91121,"-349hard/49145soft","true"
91194,"-348hard/49168soft","true"
91353,"-346hard/49110soft","true"
91426,"-346hard/49223soft","true"
91480,"-345hard/49043soft","true"
91514,"-345hard/49256soft","true"
91611,"-345hard/49405soft","true"
91613,"-344hard/49405soft","true"
91700,"-343hard/49505soft","true"
91709,"-343hard/49685soft","true"
91849,"-342hard/49547soft","true"
91973,"-342hard/49712soft","true"
92297,"-341hard/49632soft","true"
92573,"-340hard/49452soft","true"
92685,"-339hard/49452soft","true"
92721,"-338hard/49442soft","true"
92871,"-337hard/49442soft","true"
92930,"-336hard/49412soft","true"
93156,"-336hard/49502soft","true"
93175,"-336hard/49569soft","true"
93462,"-335hard/49469soft","true"
93521,"-334hard/49369soft","true"
93709,"-334hard/49695soft","true"
93776,"-333hard/49695soft","true"
94022,"-333hard/49813soft","true"
94165,"-333hard/49993soft","true"
94192,"-333hard/50165soft","true"
94290,"-332hard/50170soft","true"
94643,"-332hard/50200soft","true"
94860,"-332hard/50208soft","true"
96151,"-331hard/49728soft","true"
96216,"-330hard/49728soft","true"
96286,"-329hard/49638soft","true"
96457,"-328hard/49683soft","true"
96469,"-327hard/49683soft","true"
96756,"-326hard/49537soft","true"
96807,"-326hard/49617soft","true"
97235,"-325hard/49519soft","true"
97843,"-324hard/49573soft","true"
98014,"-324hard/49592soft","true"
98355,"-324hard/49600soft","true"
98382,"-323hard/49600soft","true"
99627,"-322hard/49566soft","true"
100662,"-321hard/49486soft","true"
100877,"-320hard/49566soft","true"
100979,"-319hard/49386soft","true"
101157,"-319hard/49566soft","true"
101328,"-319hard/49625soft","true"
101357,"-319hard/49805soft","true"
103378,"-317hard/49901soft","true"
103408,"-316hard/49825soft","true"
103419,"-316hard/49915soft","true"
103463,"-316hard/49968soft","true"
103465,"-316hard/50012soft","true"
103744,"-314hard/50017soft","true"
104020,"-313hard/49928soft","true"
104074,"-313hard/50073soft","true"
104079,"-313hard/50156soft","true"
105293,"-313hard/50177soft","true"
106113,"-312hard/50004soft","true"
106723,"-312hard/50011soft","true"
107585,"-312hard/50491soft","true"
108173,"-312hard/50501soft","true"
108214,"-312hard/50562soft","true"
108723,"-311hard/50517soft","true"
109279,"-311hard/50532soft","true"
109306,"-311hard/50542soft","true"
111511,"-310hard/50532soft","true"
111577,"-309hard/50532soft","true"
111712,"-309hard/50567soft","true"
111828,"-308hard/50467soft","true"
112310,"-307hard/50277soft","true"
113439,"-306hard/50277soft","true"
113700,"-305hard/50310soft","true"
114041,"-304hard/49982soft","true"
114142,"-303hard/49880soft","true"
117824,"-303hard/49882soft","true"
119353,"-303hard/49893soft","true"
119751,"-303hard/49894soft","true"
120136,"-303hard/49907soft","true"
120269,"-303hard/49925soft","true"
120531,"-303hard/49951soft","true"
120689,"-303hard/49968soft","true"
121297,"-303hard/49983soft","true"
121377,"-301hard/50063soft","true"
123369,"-301hard/50069soft","true"
123729,"-301hard/50259soft","true"
123899,"-301hard/50276soft","true"
124995,"-300hard/50356soft","true"
125001,"-300hard/50500soft","true"
126192,"-300hard/50510soft","true"
126700,"-299hard/50320soft","true"
128123,"-299hard/50336soft","true"
128422,"-299hard/50388soft","true"
129527,"-298hard/50388soft","true"
129628,"-298hard/50470soft","true"
129939,"-297hard/50370soft","true"
130412,"-297hard/50659soft","true"
130514,"-297hard/50749soft","true"
133261,"-296hard/50569soft","true"
133466,"-295hard/50389soft","true"
137201,"-295hard/50434soft","true"
137822,"-295hard/50479soft","true"
138353,"-295hard/50579soft","true"
138470,"-294hard/50473soft","true"
138610,"-293hard/50443soft","true"
138619,"-293hard/50541soft","true"
138685,"-293hard/50743soft","true"
138687,"-292hard/50823soft","true"
139245,"-292hard/50899soft","true"
