"timeMillisSpent","score","initialized"
80998,"-451hard/52861soft","true"
81265,"-450hard/53041soft","true"
81444,"-449hard/52651soft","true"
81460,"-449hard/52720soft","true"
81552,"-448hard/52610soft","true"
81813,"-444hard/52160soft","true"
96622,"-443hard/42328soft","true"
97612,"-443hard/44297soft","true"
98903,"-443hard/45009soft","true"
99280,"-442hard/44296soft","true"
101338,"-442hard/44300soft","true"
103823,"-441hard/44092soft","true"
105194,"-440hard/44068soft","true"
107078,"-440hard/44827soft","true"
107079,"-439hard/44626soft","true"
108747,"-438hard/42624soft","true"
115997,"-438hard/45009soft","true"
125336,"-437hard/44088soft","true"
128427,"-437hard/44501soft","true"
129711,"-436hard/44996soft","true"
131842,"-436hard/45554soft","true"
131843,"-435hard/45554soft","true"
138680,"-434hard/44576soft","true"
138683,"-432hard/44576soft","true"
140600,"-432hard/44693soft","true"
149955,"-432hard/44955soft","true"
154053,"-432hard/45073soft","true"
154085,"-432hard/45080soft","true"
156528,"-432hard/45681soft","true"
158263,"-432hard/45923soft","true"
158335,"-431hard/46029soft","true"
163938,"-429hard/44633soft","true"
168731,"-429hard/46170soft","true"
168735,"-428hard/46162soft","true"
177172,"-428hard/46518soft","true"
177177,"-427hard/46320soft","true"
183370,"-426hard/47525soft","true"
191157,"-425hard/43137soft","true"
195957,"-424hard/42468soft","true"
205787,"-423hard/43103soft","true"
205790,"-422hard/42923soft","true"
209862,"-420hard/41637soft","true"
234583,"-420hard/41921soft","true"
234590,"-419hard/41957soft","true"
239559,"-419hard/43167soft","true"
240065,"-419hard/43258soft","true"
247060,"-418hard/41895soft","true"
252434,"-418hard/41897soft","true"
255816,"-418hard/42601soft","true"
256734,"-418hard/42665soft","true"
259044,"-418hard/43321soft","true"
259931,"-418hard/43734soft","true"
260613,"-418hard/43970soft","true"
260615,"-417hard/43970soft","true"
264625,"-416hard/43412soft","true"
269701,"-416hard/45218soft","true"
280503,"-416hard/45234soft","true"
283875,"-415hard/43528soft","true"
285822,"-415hard/44896soft","true"
287232,"-414hard/43754soft","true"
289183,"-414hard/44410soft","true"
291513,"-414hard/44638soft","true"
297077,"-413hard/44442soft","true"
