"timeMillisSpent","scoreCalculationSpeed"
1004,32510
2028,19921
3019,14821
4068,12446
5087,10410
6104,8023
7046,7796
8019,7547
9020,6521
10011,5763
11064,5424
12082,5611
13008,5287
14171,4911
15095,4415
16042,4308
17017,4184
18150,4321
19113,4236
20134,3996
21004,3751
22230,3327
23231,3260
24244,3222
25015,3175
26006,3293
27242,3300
28008,3195
29044,3150
30185,2860
31253,2292
32368,2195
33105,2214
34226,2183
35360,2158
36140,2092
37253,2199
38003,2176
39148,2137
40313,2101
41111,2045
42267,2117
43064,2047
44328,1936
45198,1875
46076,1858
47444,1789
48354,1793
49259,1803
50132,1869
51028,1821
52314,1903
53165,1917
54016,1917
55427,1734
56430,1627
57377,1723
58368,1646
59311,1730
60363,1551
61484,1455
62044,1457
63170,1449
64321,1417
65478,1410
66059,1404
67230,1393
68409,1384
69584,1388
70179,1371
71310,1442
72451,1430
73056,1348
74269,1345
75476,1352
76076,1360
77288,1346
78513,1332
79171,1240
80399,1328
81265,979
82003,640
83006,669
84003,613
85010,694
86025,721
87014,708
88018,677
89052,720
90016,732
91001,702
92037,704
93002,727
94001,713
95022,721
96003,746
97012,754
98024,750
99005,730
100003,735
101004,719
102009,704
103016,734
104003,731
105027,745
106006,750
107002,708
108029,682
109001,755
110003,723
111000,736
112000,703
113005,699
114024,649
115059,680
116016,687
117004,706
118000,731
119004,727
120000,729
121000,722
122012,706
123000,735
124005,740
125002,742
126000,725
127011,686
128007,700
129004,685
130004,740
131005,693
132011,751
133010,712
134038,723
135044,750
136009,726
137005,719
138000,750
139000,743
140021,728
141001,748
142025,701
143034,674
144033,750
145011,737
146004,715
147007,756
148014,732
149037,725
150015,744
151035,735
152001,734
153001,765
154018,742
155035,730
156000,732
157000,734
158011,727
159031,745
160014,751
161057,738
162018,707
163001,686
164000,736
165032,750
166023,736
167029,737
168005,732
169041,722
170005,732
171025,739
172046,750
173009,733
174040,723
175017,724
176046,732
177016,724
178015,740
179106,681
180012,696
181053,656
182002,657
183004,729
184028,762
185021,719
186011,680
187020,667
188016,659
189015,744
190003,751
191014,751
192007,751
193001,703
194009,683
195003,751
196005,734
197004,721
198012,748
199013,732
200010,709
201000,761
202006,669
203004,678
204008,706
205003,735
206001,739
207023,740
208039,732
209012,733
210004,745
211001,747
212003,741
213014,740
214014,746
215038,726
216000,754
217000,738
218002,721
219024,744
220021,731
221039,737
222003,728
223004,673
224056,727
225000,765
226003,748
227019,721
228098,744
229023,739
230022,706
231014,753
232003,729
233012,732
234003,748
235007,743
236044,734
237001,737
238012,727
239012,744
240003,743
241001,748
242019,715
243024,680
244018,743
245041,730
246013,737
247042,738
248013,733
249014,735
250020,753
251066,747
252007,746
253007,758
254016,752
255010,753
256011,731
257014,713
258038,744
259003,722
260003,732
261008,756
262004,745
263015,650
264007,750
265021,739
266025,727
267003,744
268027,735
269000,721
270007,742
271007,757
272023,736
273014,740
274016,751
275000,742
276051,725
277014,750
278026,728
279010,722
280005,765
281004,738
282058,691
283018,681
284004,731
285004,717
286057,712
287000,700
288004,734
289002,715
290039,680
291063,701
292006,777
293006,724
294017,742
295006,748
296001,733
297077,740
298005,734
299001,738
300000,740
