"timeMillisSpent","score","initialized"
81352,"-451hard/52861soft","true"
82421,"-450hard/51777soft","true"
82436,"-448hard/51777soft","true"
82972,"-446hard/51465soft","true"
82996,"-444hard/51565soft","true"
83017,"-441hard/51516soft","true"
83067,"-441hard/51740soft","true"
83738,"-440hard/50828soft","true"
83748,"-440hard/50838soft","true"
83862,"-439hard/50548soft","true"
83905,"-439hard/50590soft","true"
83919,"-439hard/50770soft","true"
84763,"-438hard/51024soft","true"
84796,"-437hard/51077soft","true"
84809,"-435hard/51077soft","true"
84825,"-435hard/51087soft","true"
84864,"-434hard/50912soft","true"
84897,"-434hard/50955soft","true"
85065,"-431hard/50704soft","true"
85271,"-430hard/50560soft","true"
85297,"-430hard/50584soft","true"
85314,"-429hard/50404soft","true"
85342,"-426hard/50469soft","true"
85353,"-426hard/50569soft","true"
85366,"-426hard/50598soft","true"
85380,"-424hard/50508soft","true"
85488,"-423hard/50644soft","true"
86016,"-422hard/50300soft","true"
87227,"-421hard/50137soft","true"
87269,"-421hard/50211soft","true"
87347,"-421hard/50501soft","true"
91208,"-420hard/49572soft","true"
91215,"-420hard/49762soft","true"
91223,"-419hard/49662soft","true"
91882,"-418hard/49616soft","true"
91921,"-416hard/49436soft","true"
91936,"-415hard/49536soft","true"
91966,"-415hard/49726soft","true"
91978,"-413hard/49726soft","true"
92009,"-411hard/49680soft","true"
97020,"-411hard/49888soft","true"
97031,"-410hard/49888soft","true"
97059,"-409hard/50063soft","true"
97110,"-408hard/49820soft","true"
97547,"-408hard/50083soft","true"
97569,"-407hard/49771soft","true"
97580,"-406hard/49630soft","true"
97738,"-406hard/49774soft","true"
98010,"-405hard/49230soft","true"
98035,"-402hard/49217soft","true"
98076,"-401hard/49265soft","true"
98101,"-400hard/49235soft","true"
98124,"-399hard/48896soft","true"
98197,"-399hard/49187soft","true"
98235,"-397hard/48974soft","true"
98351,"-396hard/48885soft","true"
98438,"-396hard/48902soft","true"
98456,"-394hard/48752soft","true"
98476,"-394hard/48832soft","true"
98488,"-394hard/48912soft","true"
125113,"-393hard/49963soft","true"
125173,"-392hard/49963soft","true"
130814,"-391hard/49059soft","true"
130834,"-390hard/48862soft","true"
130847,"-389hard/48862soft","true"
130872,"-388hard/48782soft","true"
130911,"-388hard/48784soft","true"
130930,"-387hard/48971soft","true"
130948,"-386hard/48891soft","true"
130966,"-385hard/48891soft","true"
131121,"-385hard/48946soft","true"
131143,"-385hard/49026soft","true"
131158,"-384hard/48662soft","true"
131538,"-383hard/48323soft","true"
131552,"-382hard/48213soft","true"
131584,"-381hard/48293soft","true"
159986,"-381hard/48363soft","true"
163564,"-380hard/48219soft","true"
163662,"-379hard/48029soft","true"
163691,"-379hard/48038soft","true"
163745,"-378hard/48118soft","true"
163770,"-378hard/48298soft","true"
174368,"-378hard/48355soft","true"
174430,"-377hard/48127soft","true"
174491,"-377hard/48137soft","true"
174533,"-376hard/48057soft","true"
174606,"-375hard/48058soft","true"
175011,"-374hard/47815soft","true"
175430,"-374hard/47832soft","true"
177091,"-374hard/48458soft","true"
177145,"-373hard/48368soft","true"
177414,"-373hard/48413soft","true"
177452,"-372hard/48238soft","true"
177642,"-370hard/47965soft","true"
177664,"-369hard/47965soft","true"
177750,"-369hard/48155soft","true"
178330,"-369hard/48440soft","true"
178536,"-368hard/48424soft","true"
178585,"-368hard/48524soft","true"
178678,"-367hard/48511soft","true"
179346,"-367hard/48541soft","true"
179367,"-365hard/48441soft","true"
180963,"-365hard/48889soft","true"
182274,"-365hard/49129soft","true"
187148,"-364hard/48564soft","true"
187203,"-364hard/48734soft","true"
187241,"-364hard/48800soft","true"
187315,"-363hard/48800soft","true"
192752,"-362hard/47647soft","true"
192794,"-361hard/47626soft","true"
192822,"-360hard/47626soft","true"
192883,"-359hard/47626soft","true"
192925,"-358hard/47304soft","true"
193052,"-358hard/47331soft","true"
193103,"-358hard/47355soft","true"
193366,"-357hard/47393soft","true"
193535,"-357hard/47739soft","true"
193589,"-356hard/47654soft","true"
193614,"-356hard/47664soft","true"
193759,"-356hard/47735soft","true"
193822,"-356hard/47793soft","true"
193858,"-356hard/47803soft","true"
193902,"-356hard/47883soft","true"
193933,"-356hard/47909soft","true"
195138,"-355hard/46606soft","true"
195166,"-354hard/46606soft","true"
195287,"-354hard/46786soft","true"
195327,"-354hard/46811soft","true"
