"timeMillisSpent","score","initialized"
79945,"-451hard/52861soft","true"
81709,"-446hard/52861soft","true"
83211,"-444hard/52921soft","true"
84702,"-441hard/52831soft","true"
86171,"-439hard/53011soft","true"
87612,"-437hard/52934soft","true"
89085,"-434hard/52934soft","true"
90564,"-433hard/52934soft","true"
92035,"-431hard/52766soft","true"
93523,"-430hard/52856soft","true"
95036,"-428hard/52798soft","true"
96503,"-427hard/52798soft","true"
97933,"-426hard/52880soft","true"
99393,"-424hard/52831soft","true"
100866,"-422hard/52831soft","true"
102402,"-421hard/52892soft","true"
103887,"-419hard/52412soft","true"
105350,"-417hard/52532soft","true"
106802,"-415hard/52532soft","true"
108365,"-413hard/52356soft","true"
109897,"-411hard/52249soft","true"
111242,"-410hard/52249soft","true"
112587,"-408hard/51793soft","true"
113943,"-407hard/51803soft","true"
115320,"-406hard/51793soft","true"
116708,"-405hard/51748soft","true"
118056,"-404hard/51748soft","true"
119449,"-403hard/51897soft","true"
120887,"-402hard/51907soft","true"
122463,"-401hard/51912soft","true"
123992,"-399hard/51912soft","true"
125669,"-398hard/51902soft","true"
127228,"-397hard/51893soft","true"
128791,"-396hard/51918soft","true"
130409,"-395hard/51918soft","true"
132016,"-393hard/51918soft","true"
133622,"-392hard/51972soft","true"
135022,"-391hard/51792soft","true"
136416,"-390hard/51624soft","true"
137817,"-389hard/51534soft","true"
139212,"-388hard/51534soft","true"
140740,"-385hard/51373soft","true"
142411,"-384hard/51373soft","true"
143872,"-383hard/51298soft","true"
145352,"-382hard/51308soft","true"
146797,"-380hard/51308soft","true"
148213,"-378hard/51128soft","true"
149624,"-377hard/51145soft","true"
151112,"-376hard/51145soft","true"
152480,"-375hard/51145soft","true"
153949,"-374hard/51096soft","true"
155635,"-373hard/51106soft","true"
157230,"-372hard/51016soft","true"
158812,"-371hard/51016soft","true"
160415,"-370hard/50836soft","true"
161791,"-369hard/50683soft","true"
163110,"-368hard/50775soft","true"
164558,"-367hard/50751soft","true"
166155,"-366hard/50751soft","true"
167633,"-365hard/50600soft","true"
169030,"-364hard/50440soft","true"
170315,"-363hard/50360soft","true"
171623,"-362hard/50180soft","true"
172919,"-361hard/50125soft","true"
174261,"-360hard/50125soft","true"
175566,"-359hard/50035soft","true"
177032,"-358hard/50072soft","true"
178394,"-357hard/50072soft","true"
179807,"-356hard/50371soft","true"
181108,"-355hard/50271soft","true"
182409,"-354hard/50371soft","true"
183976,"-353hard/50317soft","true"
185505,"-352hard/50023soft","true"
186953,"-351hard/50023soft","true"
188447,"-351hard/50213soft","true"
189935,"-349hard/50177soft","true"
191382,"-349hard/50503soft","true"
192810,"-348hard/50503soft","true"
194229,"-348hard/50593soft","true"
195671,"-348hard/50717soft","true"
197087,"-347hard/50717soft","true"
199938,"-346hard/50717soft","true"
201384,"-346hard/51168soft","true"
202825,"-345hard/50914soft","true"
204249,"-344hard/50935soft","true"
205709,"-343hard/50866soft","true"
207121,"-342hard/50866soft","true"
208561,"-341hard/50724soft","true"
209987,"-341hard/50745soft","true"
211462,"-340hard/50655soft","true"
212876,"-340hard/50890soft","true"
214296,"-339hard/50824soft","true"
215772,"-339hard/50867soft","true"
217196,"-339hard/50967soft","true"
218593,"-339hard/51034soft","true"
219983,"-339hard/51490soft","true"
222866,"-337hard/51067soft","true"
224281,"-337hard/51130soft","true"
225670,"-336hard/51120soft","true"
227146,"-336hard/51334soft","true"
228555,"-335hard/51334soft","true"
229999,"-335hard/51414soft","true"
232871,"-335hard/51440soft","true"
235739,"-333hard/51400soft","true"
237238,"-332hard/51130soft","true"
238838,"-331hard/51072soft","true"
240461,"-330hard/51072soft","true"
242065,"-330hard/51082soft","true"
243572,"-330hard/51182soft","true"
245065,"-329hard/51166soft","true"
246584,"-328hard/51179soft","true"
248191,"-327hard/51179soft","true"
249775,"-326hard/50999soft","true"
251374,"-325hard/50989soft","true"
252957,"-325hard/51066soft","true"
254519,"-325hard/51127soft","true"
256004,"-325hard/51576soft","true"
257585,"-324hard/51616soft","true"
259131,"-324hard/51712soft","true"
260644,"-324hard/51982soft","true"
262224,"-324hard/51991soft","true"
263741,"-324hard/51998soft","true"
266761,"-324hard/52067soft","true"
268232,"-323hard/52067soft","true"
269720,"-322hard/52067soft","true"
272729,"-322hard/52071soft","true"
274243,"-321hard/51982soft","true"
275718,"-321hard/51994soft","true"
278669,"-320hard/51994soft","true"
281602,"-319hard/51994soft","true"
283064,"-318hard/52012soft","true"
284550,"-317hard/51912soft","true"
287521,"-316hard/51832soft","true"
289019,"-316hard/51840soft","true"
290497,"-316hard/51886soft","true"
295055,"-316hard/51976soft","true"
296524,"-315hard/51876soft","true"
300000,"-314hard/51776soft","true"
